Sale_ID,Date_ID,Product_ID,Doctor_ID,Distributor_ID,Territory_ID,Units_Sold,Unit_Price,Discount,Revenue,Cost,Profit
S000001,20240528,P003,D0282,DT0089,T023,153,141.76,291.53,21397.75,10488.15,10909.6
S000002,20250712,P040,D0280,DT0100,T024,125,992.31,4650.84,119387.91,68978.75,50409.16
S000003,20240607,P039,D0193,DT0019,T024,115,427.76,2144.9,47047.5,24388.05,22659.45
S000004,20250823,P045,D0217,DT0050,T019,125,63.92,149.6,7840.4,4606.25,3234.15
S000005,20240919,P004,D0004,DT0022,T012,585,77.5,1995.24,43342.26,27518.4,15823.86
S000006,20240522,P013,D0068,DT0083,T027,443,47.81,789.92,20389.91,11992.01,8397.9
S000007,20250516,P006,D0040,DT0041,T013,540,54.7,2246.37,27291.63,12814.2,14477.43
S000008,20230909,P010,D0031,DT0083,T006,321,170.24,518.18,54128.86,23763.63,30365.23
S000009,20230127,P020,D0085,DT0065,T024,267,102.01,287.08,26949.59,13416.75,13532.84
S000010,20250721,P031,D0156,DT0035,T023,267,136.12,2331.19,34012.85,18505.77,15507.08
S000011,20250308,P020,D0098,DT0039,T026,346,99.47,1183.82,33232.8,17386.5,15846.3
S000012,20250605,P040,D0197,DT0016,T025,58,970.94,440.09,55874.43,32006.14,23868.29
S000013,20250128,P004,D0003,DT0029,T002,40,77.29,47.51,3044.09,1881.6,1162.49
S000014,20250212,P023,D0265,DT0095,T012,343,162.36,621.94,55067.54,28513.59,26553.95
S000015,20230822,P022,D0120,DT0021,T024,695,154.35,997.0,106276.25,50206.8,56069.45
S000016,20230710,P022,D0103,DT0031,T016,623,152.08,2097.04,92648.8,45005.52,47643.28
S000017,20230805,P047,D0230,DT0059,T004,322,120.88,2191.05,36732.31,20736.8,15995.51
S000018,20240629,P025,D0108,DT0003,T021,93,109.84,703.38,9511.74,4319.85,5191.89
S000019,20230625,P044,D0211,DT0089,T020,581,38.93,1752.18,20866.15,12898.2,7967.95
S000020,20250109,P023,D0122,DT0080,T004,197,151.91,2250.79,27675.48,16376.61,11298.87
S000021,20240613,P027,D0146,DT0005,T007,18,298.03,381.24,4983.3,2643.66,2339.64
S000022,20251121,P004,D0018,DT0016,T003,90,75.53,452.27,6345.43,4233.6,2111.83
S000023,20240524,P013,D0072,DT0011,T028,756,47.77,1650.6,34463.52,20464.92,13998.6
S000024,20230214,P010,D0278,DT0004,T029,362,163.74,1523.81,57750.07,26798.86,30951.21
S000025,20250901,P014,D0070,DT0038,T024,154,126.28,163.87,19283.25,9951.48,9331.77
S000026,20240928,P037,D0199,DT0035,T023,392,36.6,739.9,13607.3,7279.44,6327.86
S000027,20231211,P024,D0118,DT0012,T008,66,202.9,814.57,12576.83,5591.52,6985.31
S000028,20241202,P004,D0008,DT0039,T026,433,73.33,1046.39,30705.5,20368.32,10337.18
S000029,20240216,P034,D0156,DT0031,T009,729,145.66,5962.13,100224.01,50439.51,49784.5
S000030,20230320,P006,D0038,DT0067,T017,337,55.79,1265.29,17535.94,7997.01,9538.93
S000031,20240224,P045,D0267,DT0083,T030,143,63.98,94.64,9054.5,5269.55,3784.95
S000032,20231121,P046,D0255,DT0021,T018,521,161.93,3230.41,81135.12,39960.7,41174.42
S000033,20240330,P039,D0182,DT0022,T021,117,422.48,1359.73,48070.43,24812.19,23258.24
S000034,20250727,P006,D0036,DT0013,T001,360,54.84,691.61,19050.79,8542.8,10507.99
S000035,20240516,P034,D0152,DT0039,T005,417,138.57,2331.51,55452.18,28852.23,26599.95
S000036,20230629,P032,D0159,DT0023,T009,229,37.02,620.26,7857.32,5667.75,2189.57
S000037,20230226,P044,D0222,DT0017,T008,63,39.02,94.72,2363.54,1398.6,964.94
S000038,20231228,P013,D0057,DT0066,T016,640,49.65,1128.24,30647.76,17324.8,13322.96
S000039,20230704,P038,D0177,DT0004,T008,172,63.43,223.62,10686.34,6912.68,3773.66
S000040,20241215,P023,D0251,DT0040,T005,233,157.43,79.18,36602.01,19369.29,17232.72
S000041,20251012,P004,D0011,DT0015,T025,690,73.64,1728.84,49082.76,32457.6,16625.16
S000042,20230506,P006,D0027,DT0001,T016,500,54.03,1708.88,25306.12,11865.0,13441.12
S000043,20231108,P044,D0216,DT0034,T017,663,39.16,203.41,25759.67,14718.6,11041.07
S000044,20230708,P031,D0288,DT0009,T016,133,135.62,862.61,17174.85,9218.23,7956.62
S000045,20240912,P006,D0033,DT0038,T003,698,54.82,2515.29,35749.07,16563.54,19185.53
S000046,20241011,P024,D0273,DT0096,T013,33,205.58,430.93,6353.21,2795.76,3557.45
S000047,20251225,P013,D0054,DT0080,T004,388,47.92,1316.55,17276.41,10503.16,6773.25
S000048,20230404,P003,D0001,DT0100,T006,552,131.19,386.16,72030.72,37839.6,34191.12
S000049,20250501,P003,D0019,DT0023,T006,343,139.91,2835.29,45153.84,23512.65,21641.19
S000050,20250909,P014,D0055,DT0021,T023,535,129.82,2365.09,67088.61,34571.7,32516.91
S000051,20231203,P007,D0044,DT0056,T013,39,890.67,2547.35,32188.78,14816.88,17371.9
S000052,20250811,P026,D0150,DT0019,T001,277,102.11,1657.74,26626.73,19622.68,7004.05
S000053,20240825,P034,D0166,DT0055,T009,690,140.82,690.01,96475.79,47741.1,48734.69
S000054,20250208,P023,D0109,DT0091,T007,327,157.76,2743.2,48844.32,27183.51,21660.81
S000055,20250306,P002,D0005,DT0003,T007,87,312.91,626.98,26596.19,16094.13,10502.06
S000056,20240208,P045,D0203,DT0043,T016,31,62.28,131.69,1798.99,1142.35,656.64
S000057,20250504,P020,D0086,DT0076,T023,358,103.18,2293.94,34644.5,17989.5,16655.0
S000058,20240519,P003,D0018,DT0100,T003,162,135.97,664.66,21362.48,11105.1,10257.38
S000059,20250825,P041,D0255,DT0029,T014,218,153.09,1520.24,31853.38,17801.88,14051.5
S000060,20230201,P016,D0081,DT0076,T030,287,131.66,538.02,37248.4,17380.72,19867.68
S000061,20231006,P019,D0083,DT0031,T007,224,207.31,3552.85,42884.59,19550.72,23333.87
S000062,20250131,P016,D0085,DT0033,T024,227,134.26,380.34,30096.68,13747.12,16349.56
S000063,20250629,P004,D0021,DT0082,T010,256,77.24,1425.93,18347.51,12042.24,6305.27
S000064,20230820,P050,D0230,DT0027,T004,538,38.7,201.34,20619.26,11766.06,8853.2
S000065,20251026,P046,D0247,DT0002,T029,407,153.21,183.02,62173.45,31216.9,30956.55
S000066,20230414,P035,D0159,DT0092,T009,498,169.98,4017.15,80632.89,54720.24,25912.65
S000067,20250313,P022,D0122,DT0097,T004,428,159.21,738.74,67403.14,30918.72,36484.42
S000068,20240410,P029,D0144,DT0041,T013,330,47.55,312.24,15379.26,11655.6,3723.66
S000069,20250423,P009,D0037,DT0081,T020,541,36.68,790.98,19052.9,12643.17,6409.73
S000070,20250513,P025,D0102,DT0076,T024,41,106.98,163.17,4223.01,1904.45,2318.56
S000071,20250801,P013,D0059,DT0002,T029,386,46.77,150.14,17903.08,10449.02,7454.06
S000072,20250816,P007,D0281,DT0089,T023,56,865.69,1974.37,46504.27,21275.52,25228.75
S000073,20251123,P041,D0205,DT0034,T011,206,149.99,1161.03,29736.91,16821.96,12914.95
S000074,20251123,P027,D0133,DT0006,T010,31,290.07,633.93,8358.24,4552.97,3805.27
S000075,20250501,P006,D0028,DT0054,T026,467,54.59,1678.48,23815.05,11081.91,12733.14
S000076,20250405,P001,D0001,DT0015,T006,29,576.35,93.35,16620.8,10129.99,6490.81
S000077,20250914,P013,D0057,DT0046,T016,282,49.35,845.52,13071.18,7633.74,5437.44
S000078,20250322,P050,D0226,DT0084,T001,319,37.61,24.85,11972.74,6976.53,4996.21
S000079,20230511,P032,D0167,DT0035,T030,529,39.61,522.82,20430.87,13092.75,7338.12
S000080,20230212,P039,D0197,DT0051,T025,128,403.75,2315.37,49364.63,27144.96,22219.67
S000081,20230627,P041,D0257,DT0051,T025,64,147.76,367.93,9088.71,5226.24,3862.47
S000082,20240216,P028,D0127,DT0035,T024,59,262.68,1154.59,14343.53,9222.88,5120.65
S000083,20240323,P045,D0225,DT0025,T019,12,63.67,12.3,751.74,442.2,309.54
S000084,20250302,P006,D0026,DT0001,T027,213,53.77,867.75,10585.26,5054.49,5530.77
S000085,20250212,P011,D0065,DT0041,T021,442,114.25,1396.39,49102.11,27576.38,21525.73
S000086,20240624,P020,D0081,DT0015,T030,177,102.33,953.64,17158.77,8894.25,8264.52
S000087,20230930,P038,D0179,DT0081,T023,175,63.12,403.28,10642.72,7033.25,3609.47
S000088,20251123,P025,D0112,DT0051,T001,128,109.27,901.3,13085.26,5945.6,7139.66
S000089,20231216,P034,D0160,DT0003,T016,363,142.55,189.63,51556.02,25115.97,26440.05
S000090,20251120,P003,D0290,DT0047,T012,502,131.69,2632.2,63476.18,34412.1,29064.08
S000091,20231120,P003,D0017,DT0024,T011,214,139.57,1497.93,28370.05,14669.7,13700.35
S000092,20241207,P021,D0106,DT0098,T029,240,81.45,173.75,19374.25,14894.4,4479.85
